timestamp,identity,similarity_score,match,latency_ms,cpu_percent,memory_percent
1772685595.9613087,Unknown,0.78,False,2030.71,0.0,92.3
1772685599.2543476,Unknown,0.76,False,956.49,0.0,93.4
1772685604.467296,0001,0.8,True,953.25,0.0,93.3
1772685609.608558,Unknown,0.79,False,1252.32,0.0,92.9
1772685625.273222,Unknown,0.77,False,1376.67,0.0,95.1
1772685798.1481934,Unknown,0.79,False,1047.23,50.0,86.2
1772685804.7989569,Unknown,0.8,False,975.18,50.0,85.9
1772685809.0445561,Unknown,0.74,False,881.21,0.0,86.5
1772685813.262568,0001,0.82,True,893.62,0.0,80.3
1772685819.7546754,Unknown,0.68,False,1067.5,0.0,80.3
1772698996.2343485,0001,0.81,True,799.83,0.0,93.8
1772700532.8030865,Unknown,0.29,False,279.93,0.0,87.3
1772700854.59574,Unknown,0.29,False,342.74,0.0,88.1
1772701394.4629676,0001,0.81,True,1122.31,100.0,93.7
1772701410.3495088,Unknown,0.77,False,1307.93,0.0,94.7
1772701415.0195944,Unknown,0.79,False,1340.54,0.0,95.0
1772701421.1467674,Unknown,0.73,False,1413.75,0.0,95.0
1772701466.0236492,Sowmya,0.95,True,1319.78,100.0,89.6
1772701477.006093,Sowmya,0.89,True,1290.31,0.0,86.6
1772701482.2356565,Unknown,0.74,False,1234.35,0.0,86.5
1772701489.404433,Unknown,0.6,False,1260.32,0.0,86.6
1772701495.0085676,Sowmya,0.89,True,1467.54,0.0,87.8
1772701499.537619,Sowmya,0.81,True,1220.54,0.0,88.2
1772701504.3941085,Sowmya,0.91,True,1209.26,100.0,88.3
1772701509.3729815,Sowmya,0.84,True,1186.98,0.0,86.8
1772701514.8937478,Sowmya,0.83,True,1159.92,0.0,87.0
1772701596.6122117,Sowmya,0.87,True,941.91,0.0,90.6
1772702003.7450607,Unknown,0.59,False,911.33,0.0,85.9
1772953151.893036,Unknown,0.68,False,2323.77,0.0,96.3
1772953156.4485688,Unknown,0.75,False,1337.14,0.0,90.1
